student_id,term_id,first_name,last_name,credits_earned,date_of_birth,student_employee,gpa,major
862816,2221,Madalena,Rennebach,86,1/23/04,0,3.9,Musical Theatre
117220,2221,Daniele,Armsden,115,7/7/01,0,4,Computer Science
783232,2221,Val,Duprey,0,4/17/01,0,2.8,Pre-Journalism & Mass Comm
968702,2221,Sung-Hoon,Chen,140,1/15/00,0,2.99,Information Science
280858,2221,Standford,Hakey,0,5/17/01,0,3.26,"Classics, Concurrent Degree"
152096,2221,Deepali,Gupta,106,2/17/98,1,3.44,Computer Science & Business
152096,2221,Deepali,Gupta,106,2/17/98,1,3.44,Management
962362,2221,Kate,Schoenrock,73,11/18/03,0,3.02,French
309952,2221,Kiyoshi,Iwai,80,1/25/98,0,4,Elec Engr & Computer Sci
220505,2221,Marcello,Hold,87,11/6/01,0,2.82,Music
220505,2221,Marcello,Hold,87,11/6/01,0,2.82,Pre-Economics
747829,2221,Emma,Sans,1,2/2/02,0,3.17,Broadcast News
689852,2221,Jayanthi,Mhasalkar,127,1/8/98,0,3.55,Transport/Distribution Mgt
765173,2221,Shelba,Tomik,63,1/26/99,0,3.08,Italian
354804,2221,Redd,Lockney,44,9/14/98,0,4,Minerals Land Management
664001,2221,Nahum,Woodyer,58,2/10/04,0,2.78,Astronomy
171715,2221,Delila,Wonter,132,12/31/01,0,3.26,"Mechanical Engr, Concur Degree"
935021,2221,Ertha,Locker,49,12/23/00,0,2.6,Pharmacy
701106,2221,Sydney,Trace,59,2/4/02,0,2.43,Pharmacy
791544,2221,Haleigh,Kiledal,127,3/29/01,1,3.77,"Biological Sci-EPO,Concur Deg"
172987,2221,Jessi,Arent,83,3/18/99,1,2.27,"Mathematics, Concurrent Degree"
187306,2221,Towney,Van den Broek,40,8/12/02,0,3.9,Elec Engr & Computer Sci
187306,2221,Towney,Van den Broek,40,8/12/02,0,3.9,Mathematics
626957,2221,Jacinda,Lamport,27,4/7/98,1,4,Journalism - Open Option
676274,2221,Linnet,Pirson,27,5/17/98,0,3.05,Communication
365031,2221,Bette,Smoth,89,12/2/02,0,3.95,Environmental Prod of Design
330311,2221,Quintana,Marginson,117,10/27/01,0,4,Entreparneurship/Small Bus Mgt
423138,2221,Valdemar,Fetherston,88,12/1/98,0,2.22,Minerals Land Management
273498,2221,Krystalle,Blaschek,74,4/17/04,0,3.46,Biochemistry
593993,2221,Fina,Squires,41,5/9/04,0,3.42,"Aerospace Engr Sci, Concur Deg"
486876,2221,Aymer,Collumbell,84,2/9/02,0,2.94,Chinese
676722,2221,Camile,Wilne,88,8/8/02,0,2.54,Biomedical Engineering
827470,2221,Micheline,Ansty,31,5/21/00,0,4,"German Studies, Concur Degr"
178820,2221,Glenine,Rockell,18,8/31/03,0,2.2,International Business
351029,2221,Coleman,Poizer,127,12/30/01,0,3.42,Sociology
436095,2221,Cathe,Tidcomb,107,8/18/00,1,2.38,"Linguistics, Concurrent Degree"
780713,2221,Gerhard,Figliovanni,56,1/25/99,0,4,Office Administration
